Club_ID,Number_Of_Reviews,Payment_Required,Membership_Cost,Description,Image_URL
50,2,TRUE,45,To professional and leadership development of Asians.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
51,0,FALSE,87,"To envision, empower, and execute the learning processes of multidisciplinary engineering with respect to Aerospace Engineering and Technology.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
52,2,TRUE,136,"To envision, empower, and execute the learning processes of multidisciplinary engineering with respect to Automotive Engineering and Technology.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
53,1,TRUE,144,To connecting all nursing students and promote learning through networking and enrichment activities.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
54,0,FALSE,150,"AFE's goal is to promote networking opportunities between professionals and students to stimulate interest in Facilities Engineering via regular meetings, company tours, and other social events.",http://s3.amazonaws.com/ClubExpressClubFiles/244299/graphics/afe_logo_2_2135570402.jpg
55,2,FALSE,37,To develop an appreciation and understanding of the ideals and objectives of the National Chapter of AGC and to promote these ideals and objectives through the organization.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
56,1,TRUE,139,Serve as spokespersons for the Student Body to faculty and staff regarding student concerns,http://www.books-not-bombs.com/content/images/schools/sjsu.png
57,1,FALSE,38,"To personal certification, academic excellence, and professional development for students involved in integrating technology, leadership, and design.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
58,1,TRUE,126,"To promote and practice the open, rational, and scientific examination of the universe and our place in it, and that ethics and morality can be meaningfully based on rational and humanistic ideals and values, promote skeptical inquiry, provide community for atheists, agnostics, humanists, skeptics, naturalists and other freethinkers, organize activities,",http://www.books-not-bombs.com/content/images/schools/sjsu.png
59,0,TRUE,127,A social and competitive group; we provide all SJSU students and staff the opportunity to play recreational as well as competitive badminton.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
60,3,FALSE,83,"To represent SJSU in the Collegiate Dancesport Circuit, bring the joys of both competitive and social ballroom to SJSU students and to help people find the inner dancer that's inside them!",http://www.books-not-bombs.com/content/images/schools/sjsu.png
61,1,FALSE,108," The Banking and Investment Association is an undergraduate organization at San Jose State University, working closely with the faculty and its office members to enhance the undergraduate experience and meet the needs of the student body. Our main goal is to promote activities that benefit the financial community, students, and faculty. In doing so, we are able to develop strong leaders in finance. ",http://www.sjsu.edu/cob/pics/BIA-Logo-Clean-Blue%20copy.png
62,3,FALSE,105,"A period as well as the style that used exaggerated motion and detail to produce drama, tension, exuberance, and grandeur in painting, literature, sculpture, dance, and music.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
63,2,FALSE,92,To expand Be The Match's reach onto the San Jose State Campus,http://www.books-not-bombs.com/content/images/schools/sjsu.png
64,0,TRUE,145,"To increase awareness of accounting, finance, and information system careers; to place an emphasis on the needs of our members and to develop within our members the personal and professional skills needed to enter the workforce and excel in their chosen careers.",http://www.sjsu.edu/cob/pics/betaAlphaPsiLogo.jpg
65,0,FALSE,129,To function as an honor and professional society for students of the biological sciences.,https://www.geneseo.edu/sites/default/files/sites/tribeta/TriBeta%2520logo.gif
66,3,TRUE,75,"To stimulate the ambition of its members, to prepare them for the greatest usefulness in the causes of humanity, freedom and dignity of the individual and to encourage the highest and noblest form of manhood to aid downtrodden humanity in its efforts to achieve higher social, economic and intellectual status.",https://upload.wikimedia.org/wikipedia/en/2/29/Beta_Theta_Pi_seal.png
67,2,FALSE,36,"To support the San Jose State Universities bicycling community through advocacy, bicycle education, bicycle related events, and campus wide promotion.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
68,0,TRUE,58,To provide avenues for involving all SJSU students in activities that increase awareness of nature. 2. The club values the idea of exploration:,http://www.books-not-bombs.com/content/images/schools/sjsu.png
69,0,TRUE,31,The Biology Student Association provides biology majors of all concentrations and biology minors resources and opportunities that will help them reach their career goals.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
70,2,FALSE,65,"The purpose of our chapter is to promote the profession of biomedical engineering through the study, research, and discussion of the fields of biomedical engineering and the dissemination of knowledge thereby gained. Our Mission is to supplement academic knowledge acquired in the classroom with professional, community, and social activities. Our goal is to provide benefits and value to the University Student body and the College of Engineering students, as well as our BMES members and the community at large. Visit SJSUBMES.org for more information.",http://static1.squarespace.com/static/545c1b5de4b0a64725b87f0e/t/54d072e4e4b03b10d0daf90a/1489556905036/
71,2,FALSE,114,"To increase the number of culturally responsible Black Engineers and Scientists who excel academically, succeed professionally, and positively impact the community.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
72,2,FALSE,85,Focuses on the spiritual well being of its members and the entire San Jose State University community.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
73,0,FALSE,56,"To increase, encourage, and support the inclusion and educational success of participants through academic, professional and social experiences that encourage personal ambitions and development and create a sense of brotherhood.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
74,3,TRUE,118,Unite up to 13 student from various colleges across the San Jose State University campus.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
75,2,FALSE,141,"To unite, educate, and enrich students of color on SJSU campus and within the community about our sacred prestigious history and culture.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
76,3,FALSE,125,"To promote the profession of biomedical engineering through the organized effort of this group in study, research, and discussion of the fields of biomedical engineering and the dissemination of knowledge thereby gained.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
77,0,FALSE,36,"To create a bowling team that would allow San Jose State University students, who share a passion for bowling, to compete in nationwide competition.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
78,3,TRUE,120,To empower and connect a network of conscious and diverse leaders.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
79,0,TRUE,129,"To learn, practice, and compete in Brazilian Jiu jitsu.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
80,3,TRUE,148,Focuses on the widespread knowledge for hip hop culture specializing in the area of breakdancing to others within the community.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
81,2,TRUE,115,N/A,http://www.books-not-bombs.com/content/images/schools/sjsu.png
82,1,TRUE,81,"A student organization which seeks to help international students through service activities, social networking, and spiritual resources.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
83,0,FALSE,146,"To provide a multidisciplinary space for new media artists and students, by establishing a community and creating experience where students discuss interests, needs, new ideas, new trends, and common interests.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
84,3,TRUE,34,To nursing education and high quality health care. To provide programs representative of current professional interests and concerns.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
85,0,TRUE,55,To unite its members in sincere friendship. To perform service to the community. To work with local girl scouts to inspire them to be leaders in academics and in their community,http://www.books-not-bombs.com/content/images/schools/sjsu.png
86,0,FALSE,139,N/A,http://www.books-not-bombs.com/content/images/schools/sjsu.png
87,0,TRUE,106,N/A,http://www.books-not-bombs.com/content/images/schools/sjsu.png
88,1,FALSE,101,To represent the student residents of CVC on all matters concerning the CVC housing community,http://www.books-not-bombs.com/content/images/schools/sjsu.png
89,3,TRUE,120,Choose to view the world influenced by the teaching and life of Jesus and other spiritual teachers.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
90,0,FALSE,72,A theater production company of individual students that enable collaboration and performances in the San Jose State artistic community.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
91,3,FALSE,74,To encourage the ceramic arts through education and personal practice.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
92,2,TRUE,118,"To the purpose of maintaining and promoting the status of civil engineering as an ideal profession, Chi Epsilon was organized to recognize the characteristics of the individual civil engineer deemed to be fundamental to the successful pursuit of an engineering career, and to aid in the development of those characteristics in the civil engineering student.",http://cee.engr.ucdavis.edu/xe/files/2015/09/chiepsilonlogo.png
93,2,TRUE,116,"To develop a common bond of brotherhood, and to further our educational, professional and social growth.",http://www.chipisigma.org/images/index_r1_c2.gif
94,3,FALSE,126,To have a memorable ceremony where their cultura and their accomplishments are celebrated in a unique way.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
95,0,FALSE,90,"To provide the department's students with an opportunity to volunteer, be socially aware of each other, build lasting/future relationships and plan the department's graduation ceremony.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
96,1,TRUE,36,Use SJSU as a platform to share gospel to Non-Christian. 2.Create an opportunity for college Christian to serve in a SJSU registered organization.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
97,0,FALSE,88,"To provide a communication network and platform to share God's Love and Care for Chinese students in Bay Area, California, USA.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
98,2,FALSE,142,"Create a Chinese Student Community, provide some basic helps, and help them to get into local culture.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
99,0,TRUE,44,To promote choral activities at San Jose State University by encouraging choral singing and its artistic and multicultural and community benefits.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
100,0,TRUE,106,Christians on Campus are believers in Christ from various backgrounds. We love the Lord Jesus Christ and endeavor to give Him the first place in all things (Col. 1:18). Our desire is to cooperate with Him for the accomplishment of God's eternal purpose (Eph. 3:11) by ministering the unsearchable riches of Christ (Eph. 3:8) for the building up of the Body of Christ (Eph. 4:12).,http://www.books-not-bombs.com/content/images/schools/sjsu.png
101,0,TRUE,107,"Circle K International is the largest collegiate community service, leadership development, and friendship organization in the world. Circle K clubs are organized and sponsored by a Kiwanis club on a college or university campus. It is a self-governing organization and elects its own officers, conducts its own meetings, and determines its own service activities. This high degree of autonomy allows for a unique service experience driven entirely by the members for the members. Circle K blends community service and leadership training with the opportunity to meet many other college students at service projects, conferences, and conventions and form genuine lifelong friendships with people of all walks of life. Ultimately, Circle K encompasses a defining and meaningful opportunity during one's collegiate career.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
102,0,FALSE,36,N/A,http://www.books-not-bombs.com/content/images/schools/sjsu.png
103,2,TRUE,41,"We, Cleaner San Jose, also known as CSJ, believes in a cleaner community is a stronger community. Therefore, CSJ vision and purpose shall be to provide its members with increased knowledge of current social issue in the City of San Jose. Our mission is to build awareness in addition to perform community related service for a better San Jose.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
104,1,FALSE,130,"The main object of the Spartan Climbing club is to introduce aspects of mountaineering to the students and faculty of SJSU. Creating a community for all amateur and veterans alike. Planning events for outdoor climbing, camping and adventure!",http://www.books-not-bombs.com/content/images/schools/sjsu.png
105,1,FALSE,76,The Club Tennis Team is an organization through SJSU's Club Sports program who play both casually and competitively among ourselves and soon at the intercollegiate level.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
106,3,FALSE,63,"The club is designed to serve as a base for students to meet people who share the same interest in volleyball, both within SJSU and throughout California. This club also brings students together to form a team and family that creates a fun and competitive atmosphere for those involved.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
107,1,TRUE,110,"The purpose of Coaching Corps is to promote students to become an influential role model for disadvantaged youth through sports. The power of a coach is like a mentor and motivator to encourage kids to get involved with sports while providing them with a healthy life. Coaching Corps is an organization on campus that strives to positively affect the lives of as many local, under-served youth as possible. Please join us in our mission to close the sports gap in the heart of Silicon Valley.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
108,1,TRUE,144,"Colony of Alpha Omega Epsilon at San Jose State University is a club focus in promote friendship, leadership, and professionalism to all members of the organization. The club has a purpose of supporting women that are engineering and science majors. ",http://alphaomegaepsilon.org/images/logo.png
109,2,FALSE,56,"Our mission is to promote professional experience and training in the use of new media and social media in service to the Department of Communication Studies and its students, alumni and faculty. ",http://www.books-not-bombs.com/content/images/schools/sjsu.png
110,2,FALSE,36,"This organization was created to become a competitive dance team that is primarily jazz-based. Members will create a positive representation of San Jose State University in the competitive dance world, gain choreographic and technical skills, understanding of what it means to be a positive and respectful team member, achieve networking opportunities, and a sense of community thru the competitive dance world as well as within the organization itself.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
111,1,FALSE,134,"The Computer Graphics Club will impose the following three goals in creation as its purpose: To expand awareness of and presence of computer graphics technology on campus. To unite and spark collaboration between the design, digital art, engineering, and science departments. To connect students to the companies, software, and events, and technology of the computer graphics industry. ",https://spark.adobe.com/page/zzjJ6/embed.jpg?buster=1478215533341
112,3,FALSE,141,"Civil engineering students from universities around the country participate in what is known as the Concrete Canoe competition. This competition, hosted and directed by the American Society of Civil Engineers (ASCE), gives students a chance to demonstrate their engineeirng, athletic and artistic skills on a regional and national level. Teams must design and build their own canoe out of concrete and race it against other schools in their respected regions. The two top two schools from each region compete at the national level at a specified date and location. Teams are graded based on racing performance, presentation, design paper and final product. Each is worth 25% of the final score. This competition allows engineering students to use their knowledge to create a tangible piece of engineering. The concrete canoe competition is one of the most rewarding experiences engineers can participate in.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
113,0,FALSE,126,"We, the members of COOP, promote a just, verdant and peaceful environment for all. We seek to provide students in all disciplines a real world opportunity to address social problems in our community by collaborating with various, state, county, local associations, and organizations. By doing so, we promote educational, social, and cultural opportunities to students and to society as a whole. We are to participate in the University Community, and discharge authority vested in the Association by the State of California and the President of the University, do hereby declare that equal opportunities shall be afforded to all students without regard to race, religion, creed, gender, sexual or affectional preference, age, ethnic origin, nationality, physical disability, or any other basis protected by law.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
114,1,FALSE,51,"This organization was formed to further enhance the knowledge and affects of tobacco use on college campuses, specifically San Jose State University, continue the efforts to strengthen the current smoking policy at San Jose State University and raise awareness on the issues related to tobacco use on personal, community, and environmental health. This organization will also help those students interested in seeking cessation assistance on campus.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
115,0,FALSE,140,"The purpose of this club shall be to create an inclusive community for students studying in the Counselor Education department of the Connie L. Lurie College of Education by providing networking opportunities, practical experiences, and a space to voice opinions",http://www.books-not-bombs.com/content/images/schools/sjsu.png
116,1,TRUE,83,"Our purpose is to build a movement of people who are transformed by Jesus Christ. To be a movement that seeks to introduce students to Jesus Christ, help them to grow in their faith, encourage them to live life passionately under the lordship of Christ, and inspire commitment to advancing the purposes of God in the world. We seek to answer the big questions in life and enjoy community with one another.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
117,2,FALSE,106, Our group is devoted to students who are seeking to get involved on campus and create an impact that will ripple throughout the generations to come. We want to provide means to accommodate students in their spiritual walk as well as their educational goals throughout their time here at San Jose State! This is done through mentor programs as well as faith building events and activities that include weekly bible discussions as well as other activities.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
118,1,TRUE,83,The main purpose of this organization is to facilitate the involvement of aerospace engineering students in American Institute of Aeronautics and Astronautics (AIAA) Design Build Fly (DBF) competition in April 2017. The club members are designing and manufacturing the entire UAV (Unmanned Aerial Vehicle) to compete against other universities at international level.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
119,1,FALSE,122,The main purpose of this organization is to facilitate the involvement of aerospace engineering students in American Institute of Aeronautics and Astronautics (AIAA) Design Build Fly (DBF) competition in April 2017. The club members are designing and manufacturing the entire UAV (Unmanned Aerial Vehicle) to compete against other universities at international level.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
120,0,FALSE,35,"Delta Gamma offers to women of all ages a rich heritage based on principles of personal integrity, personal responsibility and intellectual honesty. Its primary purpose is to foster high ideals of friendship, promote educational and cultural interests, create a true sense of social responsibility, and develop the finest qualities of character.",http://sjsu.deltagamma.org/r/images/dg-logo.png
121,3,TRUE,77,The purpose of Delta Sigma Phi Fraternity Gamma Epsilon Chapter shall be to challenge each man to a greater good and to be a better man. All Chapter activities and operations shall support member's pursuit of this purpose.,https://upload.wikimedia.org/wikipedia/en/3/30/Delta_Sigma_Phi_Crest.jpg
122,1,FALSE,79,"Delta Sigma Pi is a professional fraternity organized to foster the study of business in universities; to encourage scholarship, social activity and the association of students for their mutual advancement by research and practice; to promote closer affiliation between the commercial world and students of commerce, and to further a higher standard of commercial ethics and culture and the civic and commercial welfare of the community.",http://static1.squarespace.com/static/55c2471ae4b0e7dd1ba33999/t/55c252afe4b054cede20b725/1492124758840/?format=1500w
123,0,TRUE,75," Sorority Summary/Information: Delta Sigma Theta Sorority, Inc. was founded January 13, 1913 at Howard University by 22 industrious college women. Eta Omega Chapter was Chartered in November of 1970 at San Jos State University by four women: Cheryl Dunlap, Jocelyn Larrimore, Virginia Roberts, and Veronica Tyler. Since its chartering, Eta Omega has emphasized Delta principles of sisterhood and public service. We have dedicated ourselves in projects such as: May Week, Canned Food Drive Drives, Breast Cancer and Aids awareness walks, Annual Soul Food Social and much more. We also assist the San Jose Alumnae Chapter in many of their service projects. Chapter History: A wide range of programs addressing health, education, international involvement, and the strengthening of the African American family have emerged and evolved over the years. In realizing its mission, Delta Sigma Theta provides an extensive array of public service through its Five-Point Program Thrust of: Physical and Mental Health, Educational Development, Economic Development, International Awareness and Involvement, and Political Awareness and Involvement. Message from the President: Greetings, As President of Delta Sigma Theta Sorority, Inc. Eta Omega Chapter at SJSU I would like to welcome you to Greek Life and the brief insight of DST's Eta Omega Chapter here at SJSU. Our mission at SJSU, and in the community, is to reach out and continue the legacy that our Sororities founders set forth for us. In every event and program we bring forth, we focus on our Sororities Five-Point Thrust: Economic Development Educational Development International Awareness and Involvement Physical and Mental Health Political Awareness and Involvement. We look forward to see and hopefully working with you all this academic school year. Lula Berhe President of Delta Sigma Theta Sorority, Inc. Eta Omega Chapter Annual Events: May Week-the 1st or 2nd week of May Soul Food Social-February Greek Myths-September AIDS Walk-SJ and SF Breast Cancer Walk-SJ Canned Food Drive-November Christmas in the Park-December Walk for Water with Alumni Chapter-May Girl Talk-April ",http://www.sjsu.edu/getinvolved/pics/Delta%20Sigma%20Theta%20flag.jpg
124,0,FALSE,92,"Delta Upsilon is the premier men's fraternity committed to Building Better Men for a global society through service, leadership development, and lifelong personal growth of our diverse membership.",http://www.sjsu.edu/getinvolved/pics/Delta%20Upsilon%20flag.png
125,3,FALSE,131,"The purpose of this sorority shall be to unite its members in the bonds of sincere and lasting friendship, to stimulate one another in the pursuit of knowledge, to promote the moral and social culture of its members, and to develop plans for guidance and unity in action; objects worthy of the highest aim and purpose of associated effort.",https://s-media-cache-ak0.pinimg.com/736x/87/ec/33/87ec335bee848d30d496f69df2a24999.jpg
126,0,TRUE,72,"The Desert Dwellers club is composed of people who have an affinity for the desert's inherent beauty and serenity. The club will focus on how to design, build and create a sustainable lifestyle and community within the desert. Using models, research and experimenting; the club will determine the best and most resourceful way to thrive in the inhospitable environment that is the high desert. ",http://www.books-not-bombs.com/content/images/schools/sjsu.png
127,3,TRUE,62,"San Jose State University is a highly diverse school bringing students from all economic and cultural backgrounds into the workforce in one of the most profitable, innovative and progressive areas in the country. As the world is becoming increasingly connected and collaborative, we must give as many students the chance to learn and grow their own voice as well as the tools to bring their own visions into reality. Facing the increasingly complex problems of our time, Human Centered Design offers a direct route to solutions that affect real change and solve important issues. We aim to educate, research, and apply our collective knowledge to propel change in our local communities.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
128,1,FALSE,142,"The purpose of this club is to provide resources to the B.A Design Studies majors, concentrating in Graphic Design, Interior Design, Industrial Design, and Animation/Illustration. We want to connect these students to internship/job opportunities, conduct and facilitate career workshops, encourage cross-collaboration in skill sets, and build a network for students and alumni. This is a safe and nonjudgmental environment where B.A Design Studies majors can feel appreciated and assisted. ",http://www.books-not-bombs.com/content/images/schools/sjsu.png
