organization_id	location	number_of_reviews	is_payment_required	membership_cost	image_url
73	NA	0	FALSE	56	http://www.books-not-bombs.com/content/images/schools/sjsu.png
74	NA	3	TRUE	118	http://www.books-not-bombs.com/content/images/schools/sjsu.png
75	NA	2	FALSE	141	http://www.books-not-bombs.com/content/images/schools/sjsu.png
76	ENGR 285	3	FALSE	125	http://www.books-not-bombs.com/content/images/schools/sjsu.png
77	Off Campus	0	FALSE	36	http://www.books-not-bombs.com/content/images/schools/sjsu.png
78	NA	3	TRUE	120	http://www.books-not-bombs.com/content/images/schools/sjsu.png
79	Off Campus	0	TRUE	129	http://www.books-not-bombs.com/content/images/schools/sjsu.png
80	NA	3	TRUE	148	http://www.books-not-bombs.com/content/images/schools/sjsu.png
81	NA	2	TRUE	115	http://www.books-not-bombs.com/content/images/schools/sjsu.png
82	NA	1	TRUE	81	http://www.books-not-bombs.com/content/images/schools/sjsu.png
83	NA	0	FALSE	146	http://www.books-not-bombs.com/content/images/schools/sjsu.png
84	NA	3	TRUE	34	http://www.books-not-bombs.com/content/images/schools/sjsu.png
85	NA	0	TRUE	55	http://www.books-not-bombs.com/content/images/schools/sjsu.png
86	Campus Village 2	0	FALSE	139	http://www.books-not-bombs.com/content/images/schools/sjsu.png
87	Campus Village B	0	TRUE	106	http://www.books-not-bombs.com/content/images/schools/sjsu.png
88	Campus Village C	1	FALSE	101	http://www.books-not-bombs.com/content/images/schools/sjsu.png
89	NA	3	TRUE	120	http://www.books-not-bombs.com/content/images/schools/sjsu.png
90	NA	0	FALSE	72	http://www.books-not-bombs.com/content/images/schools/sjsu.png
91	NA	3	FALSE	74	http://www.books-not-bombs.com/content/images/schools/sjsu.png
92	ENGR 136	2	TRUE	118	http://cee.engr.ucdavis.edu/xe/files/2015/09/chiepsilonlogo.png
93	230 S 10th St, San Jose, CA 95112	2	TRUE	116	http://www.chipisigma.org/images/index_r1_c2.gif
94	NA	3	FALSE	126	http://www.books-not-bombs.com/content/images/schools/sjsu.png
95	NA	0	FALSE	90	http://www.books-not-bombs.com/content/images/schools/sjsu.png
96	NA	1	TRUE	36	http://www.books-not-bombs.com/content/images/schools/sjsu.png
97	NA	0	FALSE	88	http://www.books-not-bombs.com/content/images/schools/sjsu.png
98	NA	2	FALSE	142	http://www.books-not-bombs.com/content/images/schools/sjsu.png
99	NA	0	TRUE	44	http://www.books-not-bombs.com/content/images/schools/sjsu.png
100	MLK Library/Student Union	0	TRUE	106	http://www.books-not-bombs.com/content/images/schools/sjsu.png
101	NA	0	TRUE	107	http://www.books-not-bombs.com/content/images/schools/sjsu.png
102	NA	0	FALSE	36	http://www.books-not-bombs.com/content/images/schools/sjsu.png
103	NA	2	TRUE	41	http://www.books-not-bombs.com/content/images/schools/sjsu.png
104	Off Campus	1	FALSE	130	http://www.books-not-bombs.com/content/images/schools/sjsu.png
105	Off Campus	1	FALSE	76	http://www.books-not-bombs.com/content/images/schools/sjsu.png
106	YUH 	3	FALSE	63	http://www.books-not-bombs.com/content/images/schools/sjsu.png
107	NA	1	TRUE	110	http://www.books-not-bombs.com/content/images/schools/sjsu.png
108	NA	1	TRUE	144	http://alphaomegaepsilon.org/images/logo.png
109	NA	2	FALSE	56	http://www.books-not-bombs.com/content/images/schools/sjsu.png
110	NA	2	FALSE	36	http://www.books-not-bombs.com/content/images/schools/sjsu.png
111	NA	1	FALSE	134	https://spark.adobe.com/page/zzjJ6/embed.jpg?buster=1478215533341
112	Off Campus	3	FALSE	141	http://www.books-not-bombs.com/content/images/schools/sjsu.png
113	NA	0	FALSE	126	http://www.books-not-bombs.com/content/images/schools/sjsu.png
114	NA	1	FALSE	51	http://www.books-not-bombs.com/content/images/schools/sjsu.png
115	NA	0	FALSE	140	http://www.books-not-bombs.com/content/images/schools/sjsu.png
116	Off Campus	1	TRUE	83	http://www.books-not-bombs.com/content/images/schools/sjsu.png
117	NA	2	FALSE	106	http://www.books-not-bombs.com/content/images/schools/sjsu.png
118	NA	1	TRUE	83	http://www.books-not-bombs.com/content/images/schools/sjsu.png
119	NA	1	FALSE	122	http://www.books-not-bombs.com/content/images/schools/sjsu.png
120	360 East Reed Street, San Jose CA 95112	0	FALSE	35	http://sjsu.deltagamma.org/r/images/dg-logo.png
121	189 S 11th Street, San Jose CA	3	TRUE	77	https://upload.wikimedia.org/wikipedia/en/3/30/Delta_Sigma_Phi_Crest.jpg
122	Student Union	1	FALSE	79	http://static1.squarespace.com/static/55c2471ae4b0e7dd1ba33999/t/55c252afe4b054cede20b725/1492124758840/?format=1500w
123	NA	0	TRUE	75	http://www.sjsu.edu/getinvolved/pics/Delta%20Sigma%20Theta%20flag.jpg
124	201 South 11th Street, San Jose CA 95112	0	FALSE	92	http://www.sjsu.edu/getinvolved/pics/Delta%20Upsilon%20flag.png
125	148 South 11th Street, San Jose CA 95112	3	FALSE	131	https://s-media-cache-ak0.pinimg.com/736x/87/ec/33/87ec335bee848d30d496f69df2a24999.jpg
126	NA	0	TRUE	72	http://www.books-not-bombs.com/content/images/schools/sjsu.png
127	NA	3	TRUE	62	http://www.books-not-bombs.com/content/images/schools/sjsu.png
128	NA	1	FALSE	142	http://www.books-not-bombs.com/content/images/schools/sjsu.png
129	NA	1	TRUE	42	http://www.books-not-bombs.com/content/images/schools/sjsu.png
130	NA	0	FALSE	112	https://pbs.twimg.com/profile_images/3733879424/39f6b44bc9558831f4cf51ba8a78879a_400x400.jpeg
131	NA	2	FALSE	114	https://pbs.twimg.com/profile_images/1121070904/Econ_Logo_copy_400x400.jpg
132	NA	1	TRUE	137	http://www.books-not-bombs.com/content/images/schools/sjsu.png
133	NA	1	FALSE	41	http://www.books-not-bombs.com/content/images/schools/sjsu.png
134	NA	0	FALSE	125	http://www.books-not-bombs.com/content/images/schools/sjsu.png
135	Engineering Building	2	FALSE	134	http://www.books-not-bombs.com/content/images/schools/sjsu.png
136	NA	0	TRUE	34	http://www.books-not-bombs.com/content/images/schools/sjsu.png
137	NA	0	FALSE	61	http://www.books-not-bombs.com/content/images/schools/sjsu.png
138	ENGR 376	1	TRUE	56	http://www.books-not-bombs.com/content/images/schools/sjsu.png
139	NA	0	FALSE	65	http://www.books-not-bombs.com/content/images/schools/sjsu.png
140	Boccardo Business Center	3	FALSE	149	http://www.sjsu.edu/cob/pics/FMA%20Logo%2015.jpg
141	NA	0	TRUE	41	http://www.books-not-bombs.com/content/images/schools/sjsu.png
142	MQH 520	0	FALSE	87	http://www.books-not-bombs.com/content/images/schools/sjsu.png
143	NA	1	FALSE	142	http://www.books-not-bombs.com/content/images/schools/sjsu.png
144	NA	3	TRUE	93	http://www.books-not-bombs.com/content/images/schools/sjsu.png
145	NA	2	FALSE	63	http://www.books-not-bombs.com/content/images/schools/sjsu.png
146	NA	3	TRUE	56	http://www.books-not-bombs.com/content/images/schools/sjsu.png
147	NA	3	FALSE	111	http://www.books-not-bombs.com/content/images/schools/sjsu.png
148	DH 306	0	FALSE	123	http://www.books-not-bombs.com/content/images/schools/sjsu.png
149	Student Union IDEA Lab	1	TRUE	116	http://www.sjsu.edu/cob/pics/ideas_logo_web.jpg
150	168 South 11th Street	2	TRUE	45	https://upload.wikimedia.org/wikipedia/en/9/90/Official_Kappa_Sigma_Fraternity_Crest_2.png
151	BBC 324	3	FALSE	99	http://www.sjsu.edu/cob/pics/NEW-LBSA-logo.png
152	BBC 004	3	FALSE	99	http://sjsumarketing.org/wp-content/uploads/2016/01/MA-Final-Logo.png
153	BBC 322	2	FALSE	79	http://www.sjsu.edu/cob/pics/MIS%20Logo2014.png
154	BBC 320	1	TRUE	116	https://yt3.ggpht.com/-eglr_n_5A0M/AAAAAAAAAAI/AAAAAAAAAAA/tbY_khXjCYo/s900-c-k-no-mo-rj-c0xffffff/photo.jpg
155	282 South 10th Street	1	FALSE	75	http://www.sjsu.edu/getinvolved/pics/Sigma%20Alpha%20Epsilon%20flag.jpg
156	284 South 10th Street	1	FALSE	128	https://upload.wikimedia.org/wikipedia/en/thumb/4/47/Sigma_Chi_Crest.png/200px-Sigma_Chi_Crest.png
157	155 South 11th Street	0	TRUE	108	https://pbs.twimg.com/profile_images/681396291243393024/fYgPABjV.jpg
158	Off Campus	0	TRUE	70	http://www.books-not-bombs.com/content/images/schools/sjsu.png
159	123 South 11th Street	2	FALSE	61	http://www.books-not-bombs.com/content/images/schools/sjsu.png
160	Student Union 	3	FALSE	87	http://www.sjsu.edu/cob/pics/women%20in%20business%20logo.png
